exchange,market_type,symbol_raw,leverage_max,price_usd,volume_24h_usd,open_interest_base,open_interest_usd,daily_snapshot
drift,CROSS,1KMEW-USD,4,3.25921,34164.734187,18.0,58.66578,2025-09-14
drift,CROSS,1KWEN-USD,4,0.040952,212267.048464,476586.0,19517.149872,2025-09-14
drift,CROSS,1MBONK-USD,10,25.4494,6531426.952972,356108.1,9062737.48014,2025-09-14
drift,CROSS,1MPEPE-USD,4,11.6636,125110.245404,15261.0,177998.19960000002,2025-09-14
drift,CROSS,ADA-USD,10,0.915941,183376.725215,803661.0,736106.060001,2025-09-14
drift,CROSS,AI16Z-USD,4,0.12655,12102.29777,488800.0,61857.64,2025-09-14
drift,CROSS,APT-USD,10,4.608921,31310.146471,54378.6,250626.67149059998,2025-09-14
drift,CROSS,ARB-USD,10,0.532628,41800.716305,832300.0,443306.2844,2025-09-14
drift,CROSS,AVAX-USD,10,30.154095,832072.590592,41167.4,1241365.690503,2025-09-14
drift,CROSS,BERA-USD,5,2.456776,11436.074752,97488.7,239507.8984312,2025-09-14
drift,CROSS,BNB-USD,10,938.907365,39193.659126,343.3,322326.89840450004,2025-09-14
drift,CROSS,BREAKPOINT-USD,1,1e-06,0.0,0.0,0.0,2025-09-14
drift,CROSS,BTC-USD,101,115798.24737,52834206.730218,982.1686,113733402.50184658,2025-09-14
drift,CROSS,CLOUD-USD,2,0.117552,16946.190804,1672940.0,196657.44288000002,2025-09-14
drift,CROSS,DBR-USD,2,0.024672,0.0,0.0,0.0,2025-09-14
drift,CROSS,DEMOCRATS-USD,1,1e-06,0.0,0.0,0.0,2025-09-14
drift,CROSS,DOGE-USD,10,0.290081,1206052.916907,16833254.0,4883007.153573999,2025-09-14
drift,CROSS,DRIFT-USD,5,0.641532,327888.261105,7811432.0,5011283.593824,2025-09-14
drift,CROSS,DYM-USD,5,0.242627,0.0,547.0,132.716969,2025-09-14
drift,CROSS,ETH-USD,101,4662.142608,85240529.893698,16976.858,79148533.03176567,2025-09-14
drift,CROSS,FARTCOIN-USD,10,0.918377,1667921.403736,2771673.0,2545440.734721,2025-09-14
drift,CROSS,FED-USD,1,0.999999,0.0,0.0,0.0,2025-09-14
drift,CROSS,FWOG-USD,4,0.045465,727.290048,3539933.0,160943.053845,2025-09-14
drift,CROSS,GOAT-USD,4,0.110618,26084.624682,734168.0,81212.195824,2025-09-14
drift,CROSS,HNT-USD,5,2.659292,109038.42738,200722.0,533778.408824,2025-09-14
drift,CROSS,HYPE-USD,10,54.763717,10356862.653935,351324.1,19239813.5876797,2025-09-14
drift,CROSS,INJ-USD,10,14.29246,144610.004537,35310.0,504666.7626,2025-09-14
drift,CROSS,IO-USD,2,0.647839,572.510092,56870.0,36842.603930000005,2025-09-14
drift,CROSS,IP-USD,5,9.67508,54231.987418,18775.0,181649.62699999998,2025-09-14
drift,CROSS,JTO-USD,10,2.005551,230665.149494,507832.0,1018482.975432,2025-09-14
drift,CROSS,JUP-USD,10,0.556341,2878109.705049,12725027.0,7079454.246207,2025-09-14
drift,CROSS,KAITO-USD,5,1.219528,14940.826181,68489.0,83524.25319199999,2025-09-14
drift,CROSS,KAMALA-USD,1,1e-06,0.0,0.0,0.0,2025-09-14
drift,CROSS,KMNO-USD,2,0.065039,36480.485569,26244014.0,1706884.426546,2025-09-14
drift,CROSS,LANDO-USD,1,0.999999,0.0,0.0,0.0,2025-09-14
drift,CROSS,LAUNCHCOIN-USD,4,0.097505,10663.755435,1510424.0,147273.89212,2025-09-14
drift,CROSS,LINK-USD,10,24.707894,947722.585294,77549.0,1916072.471806,2025-09-14
drift,CROSS,LNDO-USD,1,1e-06,0.0,0.0,0.0,2025-09-14
drift,CROSS,LTC-USD,10,117.080508,59670.6477,462.11,54104.07355188,2025-09-14
drift,CROSS,ME-USD,5,0.714743,43568.573117,55226.0,39472.396918,2025-09-14
drift,CROSS,MELANIA-USD,4,0.204043,8467.028624,499749.9,101970.4688457,2025-09-14
drift,CROSS,MICHI-USD,4,0.026661,0.0,272.0,7.251792,2025-09-14
